to convince s.o.;jmd überzeugen
attorney;anwalt
calm;ruhe
blanket;decke
towel;handtuch
pillow;kissen
evidence;beweise
avid;eifrig / begeistert / begierig
mount;anwachsen
ankle;knöchel
chest;Brust
wrist;Handgelenk
jaw;Kiefer
prosecutor;kläger / staatsanwalt
to tremble;zittern
satisfied;zufrieden
qualm;gewissensbisse
to betray s.o;jmd betruegen
burden;last
fray;abnutzen
to fray ones nerves;jmds nerven reizen
prohibit;verbieten
to discourage;demotivieren / abschrecken
to envelop;umhüllt / umgeben
envelope;umschlag
to lure;locken
to hug;umarmen / knuddeln
to tickle;kitzeln
legacy;erbe / vermächtnis
aptitude;begabung / fähigkeit
indispensable;unersetzlich / unverzichtbar
to melt;schmelzen / auflösen
urgency;dringlichkeit / druck / eile
to nod;nicken
modest;bequem / bescheiden / anspruchslos
decoy;falle / köder
yield;gewinn / gehalt / ausbeute
to yield;erbringen / abgeben
coincidence;zufall
jerk;narr / trottel / dummkopf
smirk;blöd grinsen / schmunzeln
to bog;versinken
bog;scheisshaus / sumpf
marsh;moor / sumpf / morast
snap;biss
to envy;beneiden
dull;grau, langweilig, glanzlos
to swallow;schlucken
throat;hals
desperate;verzweifelt, hoffnungslos
despair;Hoffnungslosugkeit
reward;belohnung
wit;verstand
i am at mit wit's end;ich bin mit meinem verstand am ende
exhausted;erschöpft
pal;kumpel
delighted;entzückt, erfreut
grapes;weintrauben
to goof up;mist bauen
slacker;faulenzer
to laze;faulenzen
frying pan;bratpfanne
pan;pfanne
cooking pot;kochtopf
insane;geisteskrank
harbour;hafen
bid;angebot
competition;konkurrenz
razor;rasierapparat
assignment;auftrag
to dare;wagen
to vanish;verschwinden
wallet;geldbörse
dawn;dämmerung, morgengrauen
dusk;abenddämmerung
to persuade s.o;jemanden überreden
dizzy;schwindelig
to tackle sth;etwas in angriff nehmen / bewältigen
slope;abhang
shiver;froesteln / zittern
to marvel at sth;etwas bewundern
trunk;stamm
torch;fackel
riddle;rätsel
to pursue;verfolgen, jagen
pursuit;verfolgungsjagd
muddy;matschig, schlammig
to chase s.o.;jemandem hinterher jagen
hedge;hecke, absicherung
twig;zweig
limb;ast
hale;gesund
hollow;furche, vertiefung
tale;erzählung, geschichte
tray;ablage, tablett
to bow;biegen
indignant;empört
cleft;riss
chin;kinn
seldom;selten
grave;gruft
to grave;eingravieren, scgnitzen
grave (adj);gravierend, ernst
midge;muecke
noon;mittag
frantic;wild
barrow;trage, karren
realm;königreich, reich, gebiet
keen;kühn, stark, eifrig
to forge;schmieden, hämmern, fälschen
peril;gefahr / risiko
host;gastgeber, hausherr
might;macht
decay;Abklingen / Ausklingen
sorrow;Bedauern / Kummer
ankle;Knöchel
to weep;weinen
brink;kante / rand
grief;kummer / trauer
torrent;reissender Strom / Wildbach
dale;tal
pillar;Pfeiler / Säule
wits;sinne / verstand
hide;Fell / Tierhaut
pity;Erbarmen / Mitleid
to tend to someone; sich um jemanden kümmern
to tend to sth; zu etas tendieren
vale; Tal
ray; Lichtstrahl
marble; Marmor
copper; Kupfer
to swell; anschwellen
trousers / pants ; hose
to warrant sth.; etw. garantieren
nap;nickerchen
precious;kostbar
glade;Lichtung
errand;Besorgung
dread;Furcht
counsel;Ratschlag / Beratung
oath;Schwur / Eid / Fluch
to dwell; wohnen
duty;Aufgabe, Auftrag, Einfuhrzoll / Gebühr
menace;Bedrohung / Gefahr / Plage
treachery;Verrat
to tempt s.o.;jmd reizen / verleiten / in Versuchung führen
temptation;Versuchung / Verlockung
goose;Gans
leather;Leder
apprenticeship;Ausbildung / Lehre
sink;Abfluss / Spülbecken / Gulli
amp;Verstärker
beneath;unter
tongue;Zunge
glove;Handschuhe
glory;Ruhm;Pracht
jam;Marmelade
subtle;raffiniert / geschickt / feinfühlig
obligation;Pflicht / Schuld
to wipe;abwischen / löschen /putzen
flare;Fackel
saw;Säge
occasion;Anlass / Gelegenheit
passion; Leidenschaft
admirable;bwundernswert
ambition;Begierde / Ziel / Ehrgeiz /Streben
deduce;folgern / rückschließen
to waver;schwanken
to wince;zucken
surgeon;chirug
verbatim;wörtlich
